course,title,topics
INFO 1601,Introduction to WWW Programming,"GV-05-06,HCI-02-01,HCI-02-02,HCI-03-09,HCI-03-10,HCI-03-13,NC-01-01,NC-01-03,NC-01-05,PBD-01-01,PD-01-01,PD-01-02,PD-01-03,PL-04-01,PL-04-02,PL-04-03,PL-04-04,SDF-01-04,SDF-02-01,SDF-02-02,SDF-02-03,SDF-02-05,SDF-02-06,SDF-03-01,SDF-03-02,SDF-03-05,SDF-03-07,SDF-04-04,SE-01-01,SE-05-08,SE-07-08,SF-01-04"
INFO 2602,Web Programming and Technologies I,"GV-06-07,HCI-03-01,HCI-03-06,HCI-03-10,HCI-03-11,HCI-03-12,HCI-03-13,HCI-04-05,HCI-10-08,IAS-02-01,IAS-02-03,IAS-02-04,IAS-02-05,IAS-02-06,IAS-02-07,IAS-02-08,IAS-06-02,IAS-06-04,IM-02-05,IM-03-01,IM-03-02,IM-03-05,IM-03-06,IM-06-02,IM-12-04,NC-01-01,NC-01-02,NC-01-03,PBD-01-03,PBD-01-04,PBD-02-01,PBD-02-02,PBD-02-03,PBD-02-04,PL-01-02,PL-02-01,PL-02-03,PL-02-04,PL-02-05,PL-03-01,PL-03-03,PL-03-05,SE-01-05,SE-02-01,SE-02-02,SE-02-05,SE-03-01,SE-03-05,SE-04-09,SE-05-01,SE-05-06,SE-05-13,SE-07-01,SE-07-08,SF-04-03,SF-04-04,SP-08-04"
COMP 3603,Human Computer Interaction,"HCI-01-01,HCI-01-02,HCI-01-03,HCI-01-04,HCI-01-05,HCI-01-06,HCI-01-07,HCI-01-08,HCI-01-09,HCI-01-10,HCI-02-01,HCI-02-02,HCI-02-03,HCI-02-04,HCI-02-05,HCI-02-06,HCI-02-07,HCI-02-08,HCI-03-01,HCI-03-02,HCI-03-03,HCI-03-05,HCI-03-06,HCI-03-07,HCI-03-09,HCI-03-10,HCI-03-11,HCI-03-12,HCI-03-13,HCI-04-01,HCI-04-02,HCI-04-03,HCI-04-04,HCI-04-05,HCI-04-06,HCI-04-07,HCI-04-08,HCI-04-09,HCI-04-10,HCI-05-01,HCI-06-01,HCI-06-02,HCI-06-03,HCI-06-04,HCI-06-05,HCI-06-06,HCI-06-07,HCI-08-05,HCI-09-01,HCI-09-02,HCI-09-03,SP-01-06"
COMP 2603,Object Oriented Programming I,"HCI-01-08,HCI-02-02,HCI-03-01,HCI-03-03,HCI-03-09,PL-01-01,PL-01-02,PL-01-03,PL-01-04,PL-01-05,PL-01-06,PL-01-07,PL-03-01,PL-03-05,PL-04-03,PL-04-04,SDF-01-04,SDF-02-01,SDF-02-02,SDF-02-03,SDF-02-04,SDF-02-05,SDF-02-06,SDF-03-01,SDF-03-03,SDF-03-04,SDF-03-07,SE-05-01"
INFO 2605,Professional Ethics and Law,"HCI-08-04,HCI-08-07,HCI-09-01,HCI-10-06,HCI-10-10,IAS-03-01,IAS-03-02,IAS-03-05,SP-01-01,SP-01-02,SP-01-03,SP-01-04,SP-01-05,SP-02-01,SP-02-02,SP-02-03,SP-03-01,SP-03-02,SP-03-03,SP-03-04,SP-03-05,SP-03-06,SP-03-07,SP-03-08,SP-03-09,SP-03-10,SP-03-11,SP-03-12,SP-03-13,SP-03-14,SP-04-01,SP-04-02,SP-04-03,SP-04-04,SP-04-05,SP-04-06,SP-04-07,SP-04-09,SP-05-01,SP-05-04,SP-07-01,SP-07-02,SP-10-06"
INFO 2604,Information Systems Security,"HCI-08-08,IAS-01-01,IAS-01-04,IAS-01-09,IAS-01-10,IAS-01-12,IAS-01-13,IAS-02-01,IAS-02-05,IAS-04-04,IAS-05-01,IAS-05-02,IAS-05-03,IAS-06-02,SF-09-01"
COMP 3613,Software Engineering II,"IAS-01-02,IAS-01-03,IAS-01-05,IAS-01-06,IAS-01-07,IAS-02-02,IM-02-07,SE-01-03,SE-01-04,SE-01-05,SE-01-06,SE-01-07,SE-01-08,SE-02-01,SE-02-02,SE-02-03,SE-02-04,SE-02-05,SE-02-06,SE-02-07,SE-02-08,SE-03-01,SE-03-02,SE-03-04,SE-04-01,SE-04-02,SE-04-03,SE-04-04,SE-04-05,SE-04-06,SE-04-10,SE-04-11,SE-04-12,SE-04-13,SE-05-03,SE-05-05,SE-05-08,SE-05-09,SE-05-10,SE-05-11,SE-05-12,SE-06-01,SE-06-03,SE-06-04,SE-07-03,SE-07-04,SE-07-08,SE-07-10,SE-08-02,SE-08-03,SE-08-04,SE-08-05,SE-09-01,SE-09-02,SE-09-04,SF-02-04"
COMP 2604,Operating Systems,"IAS-01-08,OS-01-01,OS-01-02,OS-01-03,OS-01-04,OS-01-05,OS-02-01,OS-02-02,OS-02-03,OS-02-04,OS-02-05,OS-02-06,OS-02-07,OS-03-02,OS-03-03,OS-03-04,OS-03-05,OS-03-06,OS-03-07,OS-04-01,OS-04-02,OS-04-03,OS-04-04,OS-05-01,OS-05-02,OS-05-03,OS-06-01,OS-06-02,OS-06-03,OS-06-04,OS-07-01,OS-07-02,OS-07-03,OS-07-04,OS-08-01,OS-08-02,OS-08-03,OS-08-04,OS-08-05,OS-09-01,OS-09-02,OS-09-03,OS-09-04,OS-09-05,OS-09-06,OS-09-07,OS-10-01,PD-01-04,PD-02-06,PD-03-01,PD-03-02,PD-03-03,PD-03-04,SF-04-02,SF-04-05,SF-06-02,SF-06-03"
COMP 3606,Wireless and Mobile Programming,"IAS-01-11,NC-05-03,NC-05-04,NC-06-01,NC-06-02,NC-06-03,OS-01-02,OS-01-03,OS-02-03,OS-09-06,PL-01-07,PL-03-01,PL-03-02,PL-03-03,PL-03-04,PL-03-05,PL-13-04,PL-13-05,SF-01-04,SF-02-01,SF-02-02"
INFO 3600,Business Information Systems,"IM-01-01,IM-01-05,IM-01-08"
