topicId,CS Courses
SE-135-12,"COMP 2606,COMP 3613"
SE-135-10,"COMP 2606,COMP 3613"
SE-135-09,COMP 2606
SE-136-02,"COMP 2606,COMP 3607"
SE-136-03,"COMP 2606,COMP 3607,COMP 3613"
SE-136-06,COMP 2606
SE-138-01,COMP 2606
SE-138-02,COMP 2606
SE-138-08,"COMP 2606,COMP 3607,COMP 3613"
SE-133-03,"COMP 2606,COMP 3613"
SE-133-04,"COMP 2606,COMP 3613"
SE-135-07,COMP 2606
DS-26-02,COMP 2611
DS-26-03,COMP 2611
DS-26-04,COMP 2611
DS-26-05,COMP 2611
DS-26-01,COMP 2611
HCI-34-01,COMP 3603
HCI-34-02,COMP 3603
HCI-37-04,COMP 3603
HCI-37-07,COMP 3603
HCI-35-03,COMP 3603
HCI-37-06,COMP 3603
HCI-36-02,COMP 3603
HCI-34-03,COMP 3603
HCI-34-04,COMP 3603
HCI-34-05,COMP 3603
HCI-34-06,COMP 3603
HCI-34-07,COMP 3603
HCI-41-05,COMP 3603
HCI-35-07,COMP 3603
HCI-35-08,COMP 3603
HCI-35-01,COMP 3603
HCI-36-13,COMP 3603
NC-83-02,COMP 3606
PL-113-02,COMP 3606
PL-113-04,COMP 3606
PL-123-05,COMP 3606
PL-123-04,COMP 3606
OS-85-03,COMP 3606
SF-142-04,COMP 3606
SF-143-01,COMP 3606
SF-143-02,COMP 3606
CN-16-01,COMP 3607
PL-114-05,COMP 3607
SDF-131-01,COMP 3607
SDF-131-02,COMP 3607
SDF-131-03,COMP 3607
SDF-131-04,COMP 3607
SDF-131-05,COMP 3607
SDF-131-06,COMP 3607
SE-134-05,COMP 3607
SE-136-04,COMP 3607
SE-136-07,COMP 3607
SE-136-14,COMP 3607
SE-137-02,COMP 3607
SE-138-10,COMP 3607
IM-56-05,COMP 3607
IS-66-01,COMP 3608
IS-66-02,COMP 3608
IS-66-03,COMP 3608
IS-66-04,COMP 3608
IS-66-05,COMP 3608
IS-67-01,COMP 3608
IS-67-02,COMP 3608
IS-67-03,COMP 3608
IS-67-04,COMP 3608
IS-67-05,COMP 3608
IS-67-06,COMP 3608
IS-67-07,COMP 3608
IS-69-01,COMP 3608
IS-69-02,COMP 3608
IS-69-03,COMP 3608
IS-69-04,COMP 3608
IS-69-05,COMP 3608
IS-72-01,COMP 3608
IS-72-03,COMP 3608
IS-72-04,COMP 3608
IS-72-05,COMP 3608
IS-75-01,COMP 3608
IS-75-04,COMP 3608
IS-75-10,COMP 3608
IS-75-12,COMP 3608
IS-75-07,COMP 3608
PBD-101-02,COMP 3609
GV-28-03,COMP 3609
GV-28-07,COMP 3609
GV-32-02,COMP 3609
GV-32-05,COMP 3609
SE-132-06,COMP 3613
SE-132-07,COMP 3613
SE-133-02,COMP 3613
SE-134-01,COMP 3613
SE-134-02,COMP 3613
IM-55-07,COMP 3613
SE-136-08,COMP 3613
SE-136-09,COMP 3613
SE-136-10,COMP 3613
SE-136-11,COMP 3613
SE-136-12,COMP 3613
SE-137-03,COMP 3613
SE-138-04,COMP 3613
SE-138-03,COMP 3613
SE-139-02,COMP 3613
SE-139-05,COMP 3613
SE-139-03,COMP 3613
SE-132-08,COMP 3613
SE-133-06,COMP 3613
